Параметры займа,,,,,,,Факторы,,,,,,,,,,,,,,,,,,,,,
Loan issued,Рейтинг,"Comission, %",Earned interest,"Unpaid,  full amount",EL,,учредителю подсказывают / на ВИ другой человек,"На ВИ присутствует ""сотрудник"", в тч за кадром, который отвечает на вопросы","""Сотрудник"" отвечает на вопросы. ГД/учредитель молчит или отвечает редко.",В компании была смена учредителя,учредитель женщина,Первое ЮЛ,Выручка компании в первый год > 30 млн.,Текущее ЮЛ основано до 30 лет,КИ учредителя < 1 млн,Не знает объем выручки,Не знает ФОТ,Не знает контрагентов,"Не знает наценку (рентабельность, прибыль)","Не знает кредиторов ), в тч объем обязательств",Нерелевантный опыт работы,Нелогичный выбор сферы бизнеса,За ответом на вопросы 10-14 просит обратиться к сотруднику,Данные предоставленные заемщиком разнятся с действительностью > 50%,"Есть ""партнер"", который официально не оформлен","Не потребовалось денег для начала бизнеса, тк были договоренности с поставщиками","Офис находится в здании партнера/друга/родственника, аренду не платит.",Заемщик от партнера и был подготовлен к ВИ
3 170 000 ₽,7,"5,30%",211 051 ₽,862 850 ₽,"1,50%",,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
500 000 ₽,17,"6,50%",39 518 ₽,289 518 ₽,"10,00%",,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
11 600 897 ₽,9,"4,50%",537 680 ₽,9 567 386 ₽,"1,50%",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 250 000 ₽,13,"4,50%",233 022 ₽,2 858 022 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3 000 000 ₽,8,"3,75%",216 485 ₽,0 ₽,"0,00%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4 300 000 ₽,9,"6,00%",143 563 ₽,0 ₽,"0,00%",,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1 000 000 ₽,16,"6,50%",69 823 ₽,741 372 ₽,"30,00%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1 020 000 ₽,14,"6,50%",22 902 ₽,964 508 ₽,"1,50%",,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6 000 000 ₽,13,"5,50%",223 228 ₽,4 446 456 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
800 000 ₽,16,"5,00%",51 566 ₽,451 566 ₽,"1,50%",,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 860 000 ₽,16,"6,50%",174 414 ₽,1 912 513 ₽,"1,50%",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 500 000 ₽,18,"6,17%",57 597 ₽,846 687 ₽,"1,50%",,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
2 000 000 ₽,14,"6,50%",150 402 ₽,940 763 ₽,"1,50%",,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 000 000 ₽,9,"3,34%",408 986 ₽,3 208 800 ₽,"1,50%",,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800 000 ₽,10,"6,00%",41 044 ₽,524 129 ₽,"1,50%",,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
4 300 000 ₽,11,"6,00%",359 955 ₽,1 194 985 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2 000 000 ₽,15,"5,20%",85 319 ₽,1 755 956 ₽,"40,00%",,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
8 000 000 ₽,10,"5,48%",526 639 ₽,4 611 812 ₽,"1,50%",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 000 000 ₽,9,"5,86%",225 360 ₽,825 120 ₽,"1,50%",,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1 500 000 ₽,18,"6,00%",52 699 ₽,1 283 097 ₽,"1,50%",,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
650 000 ₽,17,"6,50%",34 249 ₽,501 831 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1 000 000 ₽,7,"5,25%",36 724 ₽,135 531 ₽,"1,50%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9 036 661 ₽,11,"5,72%",476 570 ₽,3 369 398 ₽,"1,50%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1 000 000 ₽,8,"2,50%",14 734 ₽,0 ₽,"0,00%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2 000 000 ₽,10,"7,80%",0 ₽,2 634 648 ₽,"1,50%",,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
629 065 ₽,15,"6,50%",84 398 ₽,0 ₽,"0,00%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 500 000 ₽,6,"3,50%",53 499 ₽,0 ₽,"0,00%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3 500 000 ₽,17,"6,00%",157 168 ₽,2 647 669 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
500 000 ₽,9,"2,00%",8 402 ₽,350 137 ₽,"1,50%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1 000 000 ₽,10,"6,00%",61 763 ₽,460 783 ₽,"1,50%",,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6 140 000 ₽,11,"4,77%",185 258 ₽,3 202 291 ₽,"1,50%",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3 850 000 ₽,13,"6,50%",316 040 ₽,1 441 353 ₽,"1,50%",,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
950 000 ₽,17,"6,50%",81 109 ₽,453 768 ₽,"1,50%",,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5 000 000 ₽,9,"6,00%",232 529 ₽,3 242 208 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2 000 000 ₽,7,"6,00%",67 108 ₽,0 ₽,"0,00%",,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2 000 000 ₽,11,"6,00%",102 610 ₽,1 310 321 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2 000 000 ₽,11,"6,00%",62 542 ₽,1 979 374 ₽,"1,50%",,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 890 000 ₽,9,"4,50%",153 099 ₽,2 483 505 ₽,"10,00%",,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9 792 307 ₽,7,"5,14%",411 323 ₽,6 721 218 ₽,"1,50%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 000 000 ₽,10,"5,13%",128 140 ₽,1 658 818 ₽,"1,50%",,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 430 000 ₽,6,"4,80%",338 424 ₽,1 470 308 ₽,"10,00%",,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2 000 000 ₽,10,"4,50%",55 840 ₽,1 045 486 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1 500 000 ₽,9,"6,00%",64 458 ₽,1 128 916 ₽,"1,50%",,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
4 223 124 ₽,12,"5,26%",176 700 ₽,2 917 987 ₽,"1,50%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 000 000 ₽,15,"5,90%",31 271 ₽,2 177 312 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1 910 000 ₽,12,"6,50%",209 663 ₽,547 388 ₽,"40,00%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 900 000 ₽,12,"5,66%",77 438 ₽,2 569 086 ₽,"1,50%",,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
5 000 000 ₽,3,"3,80%",111 303 ₽,5 807 668 ₽,"1,50%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2 250 000 ₽,15,"5,07%",106 276 ₽,1 326 957 ₽,"1,50%",,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2 680 000 ₽,11,"3,95%",74 342 ₽,2 166 418 ₽,"1,50%",,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6 000 000 ₽,5,"5,00%",124 650 ₽,4 873 949 ₽,"1,50%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
9 127 736 ₽,7,"4,76%",379 575 ₽,4 523 756 ₽,"1,50%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2 000 000 ₽,10,"6,00%",37 205 ₽,1 852 690 ₽,"40,00%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2 000 000 ₽,11,"6,90%",46 545 ₽,2 150 138 ₽,"1,50%",,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4 304 871 ₽,13,"4,78%",195 996 ₽,2 024 745 ₽,"1,50%",,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4 000 000 ₽,6,"5,50%",125 943 ₽,2 918 552 ₽,"1,50%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 000 000 ₽,12,"6,80%",0 ₽,1 280 916 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4 000 000 ₽,6,"5,50%",85 944 ₽,3 763 053 ₽,"1,50%",,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
2 296 427 ₽,8,"2,50%",38 400 ₽,0 ₽,"0,00%",,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1 280 000 ₽,17,"6,50%",140 507 ₽,366 836 ₽,"10,00%",,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1 768 461 ₽,11,"5,00%",68 480 ₽,0 ₽,"0,00%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10 940 000 ₽,10,"4,78%",383 480 ₽,7 243 877 ₽,"1,50%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3 000 000 ₽,8,"6,00%",188 914 ₽,1 094 457 ₽,"1,50%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4 160 000 ₽,14,"4,55%",0 ₽,4 528 259 ₽,"1,50%",,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2 500 000 ₽,11,"3,02%",77 124 ₽,523 513 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1 500 000 ₽,13,"5,50%",52 699 ₽,1 283 097 ₽,"1,50%",,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0
10 060 000 ₽,12,"3,47%",221 094 ₽,7 125 323 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
3 560 000 ₽,13,"6,50%",109 588 ₽,0 ₽,"0,00%",,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 000 000 ₽,7,"6,00%",111 614 ₽,0 ₽,"0,00%",,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 500 000 ₽,14,"6,50%",76 104 ₽,1 152 209 ₽,"40,00%",,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
590 000 ₽,18,"6,50%",29 934 ₽,453 202 ₽,"100,00%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 000 000 ₽,11,"5,00%",58 585 ₽,4 311 106 ₽,"1,50%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2 000 000 ₽,7,"5,10%",21 486 ₽,2 069 679 ₽,"1,50%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
3 500 000 ₽,14,"8,30%",102 049 ₽,3 776 845 ₽,"40,00%",,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
3 310 000 ₽,12,"5,00%",215 508 ₽,0 ₽,"30,00%",,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2 200 000 ₽,7,"6,00%",146 471 ₽,598 824 ₽,"1,50%",,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
7 776 427 ₽,7,"4,94%",297 288 ₽,5 889 394 ₽,"10,00%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6 000 000 ₽,4,"4,00%",0 ₽,6 635 274 ₽,"1,50%",,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2 348 835 ₽,13,"6,50%",343 779 ₽,0 ₽,"10,00%",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 000 000 ₽,14,"8,30%",63 208 ₽,2 528 620 ₽,"1,50%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3 000 000 ₽,13,"4,74%",307 831 ₽,561 566 ₽,"1,50%",,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6 500 000 ₽,4,"3,12%",225 062 ₽,4 106 753 ₽,"1,50%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 000 000 ₽,12,"6,50%",146 362 ₽,0 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500 000 ₽,13,"6,50%",30 492 ₽,334 355 ₽,"1,50%",,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
1 000 000 ₽,9,"6,00%",26 470 ₽,829 409 ₽,"1,50%",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11 250 000 ₽,7,"3,92%",357 828 ₽,9 210 381 ₽,"1,50%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2 000 000 ₽,12,"6,50%",0 ₽,2 561 833 ₽,"1,50%",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
640 000 ₽,11,"6,00%",32 835 ₽,419 303 ₽,"1,50%",,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12 400 000 ₽,7,"5,42%",539 558 ₽,8 213 797 ₽,"10,00%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 060 000 ₽,11,"6,00%",170 770 ₽,1 700 770 ₽,"1,50%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2 500 000 ₽,11,"5,00%",20 867 ₽,0 ₽,"0,00%",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4 000 000 ₽,11,"5,50%",48 787 ₽,4 203 326 ₽,"10,00%",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
4 000 000 ₽,10,"5,40%",46 843 ₽,4 181 945 ₽,"1,50%",,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
1 500 000 ₽,1,"5,50%",48 343 ₽,0 ₽,"0,00%",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 000 000 ₽,11,"5,79%",57 283 ₽,1 408 172 ₽,"1,50%",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
6 000 000 ₽,12,"5,60%",0 ₽,6 843 183 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
4 770 000 ₽,10,"5,00%",221 833 ₽,3 093 066 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7 000 000 ₽,9,"2,72%",317 685 ₽,3 352 096 ₽,"1,50%",,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 500 000 ₽,9,"4,00%",70 843 ₽,820 843 ₽,"1,50%",,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1 500 000 ₽,17,"5,50%",70 265 ₽,1 140 530 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1 234 644 ₽,14,"6,50%",145 901 ₽,116 151 ₽,"10,00%",,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1 500 000 ₽,11,"4,30%",67 765 ₽,673 403 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1 000 000 ₽,12,"3,75%",61 481 ₽,0 ₽,"30,00%",,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3 500 000 ₽,8,"6,00%",342 315 ₽,651 796 ₽,"100,00%",,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1 460 000 ₽,16,"6,50%",136 783 ₽,555 058 ₽,"10,00%",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2 070 000 ₽,14,"4,23%",0 ₽,2 359 393 ₽,"1,50%",,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2 000 000 ₽,9,"6,00%",28 308 ₽,2 144 717 ₽,"1,50%",,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
5 000 000 ₽,7,"4,00%",167 770 ₽,0 ₽,"0,00%",,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 470 000 ₽,10,"5,16%",64 778 ₽,2 614 695 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 100 000 ₽,7,"3,60%",29 133 ₽,1 895 663 ₽,"1,50%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1 340 000 ₽,15,"6,50%",135 389 ₽,380 130 ₽,"10,00%",,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5 000 000 ₽,14,"5,00%",0 ₽,5 761 044 ₽,"1,50%",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 325 000 ₽,14,"5,88%",81 746 ₽,546 082 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
500 000 ₽,17,"6,10%",8 066 ₽,547 059 ₽,"10,00%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1 030 000 ₽,17,"8,30%",40 855 ₽,1 187 238 ₽,"1,50%",,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1 000 000 ₽,9,"6,00%",88 232 ₽,184 313 ₽,"1,50%",,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3 230 000 ₽,9,"4,41%",131 567 ₽,2 415 556 ₽,"1,50%",,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1 500 000 ₽,11,"6,00%",125 566 ₽,416 855 ₽,"10,00%",,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5 000 000 ₽,5,"5,50%",225 882 ₽,2 244 678 ₽,"1,50%",,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 000 000 ₽,10,"4,11%",73 777 ₽,0 ₽,"10,00%",,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1 000 000 ₽,8,"5,20%",13 663 ₽,1 066 955 ₽,"1,50%",,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2 000 000 ₽,9,"6,00%",116 853 ₽,916 800 ₽,"1,50%",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2 500 000 ₽,13,"5,86%",90 803 ₽,1 693 374 ₽,"1,50%",,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500 000 ₽,16,"3,46%",0 ₽,640 458 ₽,"1,50%",,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2 000 000 ₽,9,"5,16%",150 240 ₽,550 080 ₽,"1,50%",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
